,Compound,R2,LOQ,SFBlank_1,SFBlank_2,SFBlank_3,Nov11_1,Nov11_2,Nov11_3,Nov13_1,Nov13_2,Nov13_3,Nov14_1,Nov14_2,Nov14_3,Nov15_1,Nov15_2,Nov15_3,Nov16_1,Nov16_2,Nov16_3,Nov17_1,Nov17_2,Nov17_3,Nov18_1,Nov18_2,Nov18_3,Nov19_1,Nov19_2,Nov19_3,Nov20_1,Nov20_2,Nov20_3,Nov21_1,Nov21_2,Nov21_3,Nov22_1,Nov22_2,Nov22_3,Nov23_1,Nov23_2,Nov23_3,Nov24_1,Nov24_2,Nov24_3,Nov25_1,Nov25_2,Nov25_3,Nov26_1,Nov26_2,Nov26_3,Nov27_1,Nov27_2,Nov27_3,Nov28_1,Nov28_2,Nov28_3,Nov29_1,Nov29_2,Nov29_3,Nov30_1,Nov30_2,Nov30_3,Dec1_1,Dec1_2,Dec1_3,FFBlank_1,FFBlank_2,FFBlank_3
11,Acebutolol,0.9902,25,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
12,Acesulfame,0.9193,1,<LOQ,<LOQ,<LOQ,3196.575532,3041.754444,3883.584843,4432.912783,4368.387948,4317.208541,4851.44643,4939.138232,5083.815456,3936.293609,4149.271153,4323.115229,3992.182072,3578.33342,3577.784258,217.0835469,201.2468153,226.9472933,11154.48178,11979.36203,11566.92191,8534.648127,8471.023345,7964.277697,4694.530342,4411.383111,4592.707785,3251.138513,2832.781759,3467.997581,4646.734631,4969.713863,5735.388406,3596.744566,3528.088389,3426.639643,4622.463349,4548.75792,4276.211101,2511.108753,2911.3946,2623.273745,1791.442815,1758.15097,1614.656954,719.1287124,726.2931226,842.0305955,1026.904412,1200.13588,1062.97747,1266.310562,1238.225847,1227.603586,1777.889251,1627.267894,1860.365479,2809.313081,2624.666974,2890.322715,92.67926871,97.87959356,90.16458426
13,Acetaminophen,0.9963,1,-4.671890709,-5.350377817,-3.437073692,7476.058568,4153.353648,3797.043999,2465.162289,2404.552275,2303.442118,1942.868575,2245.625373,1613.45766,1429.573,1665.596364,1382.377811,1879.042875,2068.031494,1966.557412,1537.926835,1259.519309,1458.523948,1700.183826,2056.244576,1878.214201,1036.482475,1050.431444,1245.594574,1294.133215,1420.967885,1619.004839,1782.475411,1379.861017,1566.771284,1557.065371,1600.241494,1469.617116,1482.433138,1135.400363,1090.754937,1585.959367,1402.048328,1420.734369,1495.730486,1807.203986,1641.217681,1553.739175,1332.141743,1234.052711,918.6159101,854.5873122,1093.058911,1025.469296,847.3769907,841.0946168,956.5042073,914.7067331,1118.880321,940.2980181,877.7671679,1049.823015,1400.867631,1362.030177,1633.539925,62.18752192,36.78236711,25.95197311
14,Acetazolamide,0.9951,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
15,Acetochlor_Alachlor,0.977,1,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
16,Adenosine,0.8369,1,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM
17,Adrenalone,0.0476,50,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM
18,Adrenosterone,0.9917,1,<LOQ,<LOQ,<LOQ,450.2725948,648.0977434,491.6622302,191.2034749,86.35806263,249.299314,190.1180561,165.0851683,69.20481438,143.077414,<LOQ,154.6351839,<LOQ,201.9835305,<LOQ,63.15833684,166.6716538,92.75638214,138.6035762,342.0767789,240.3401776,92.44657265,42.79062197,154.8454192,209.5415867,93.5527234,49.11264035,225.4088239,100.9701867,154.1688323,129.6494813,54.55610662,160.5265042,82.88228525,138.446697,<LOQ,93.99284341,169.5509906,96.55258971,159.9524041,145.4730753,232.1762495,145.716643,135.9991217,176.5669877,<LOQ,125.3003358,107.9711726,77.33463871,<LOQ,121.9166187,136.4567804,53.94971355,100.4275017,121.0590663,<LOQ,98.85896097,191.8204945,175.0653084,150.4734078,<LOQ,<LOQ,<LOQ
19,Alachlor-OXA,0.9894,1,<LOQ,<LOQ,<LOQ,360.0639773,351.1515149,207.7649325,<LOQ,431.6712888,<LOQ,834.4647885,289.6093552,353.6638644,145.4406995,128.3228896,302.3175103,<LOQ,<LOQ,<LOQ,1103.517141,1249.986501,486.5494888,<LOQ,218.4217139,218.4217139,430.570409,<LOQ,1062.994848,322.1855725,<LOQ,547.0253041,262.1708116,274.4810016,157.4411934,185.2493175,209.8919918,<LOQ,<LOQ,<LOQ,<LOQ,289.5244712,176.3646516,<LOQ,399.0003326,219.8608178,323.0518006,<LOQ,220.1290407,<LOQ,202.9523777,223.5969393,66.27720645,157.7996572,123.228086,70.10168582,149.3464388,174.5812386,166.1336544,93.67115542,156.0440261,295.1216518,770.5953105,222.0417802,425.9919611,<LOQ,<LOQ,<LOQ
20,Albuterol,0.9974,1,<LOQ,<LOQ,0.537881971,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,2.664523774,<LOQ,<LOQ
21,Allopurinol,0.9655,250,3973.862947,4095.090064,4278.59462,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,1801.30205,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
22,Amisulpride,0.9744,25,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
23,Amitriptyline,0.9275,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,288.7050448,292.7089393,316.3232199,270.4063154,272.7521586,270.8705843,363.793119,320.5530766,308.8939237,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,256.968315,287.051945,235.5962929,217.6436553,229.24122,234.2074915,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,172.895151,145.2807804,94.76957739,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,98.7809225,108.9824865,97.76430431,216.3966845,194.9933102,174.7898948,799.4372617,810.3260024,820.6597953,244.5875483,310.6666799,316.6863047,<LOQ,<LOQ,<LOQ,18.56536584,15.07794607,26.63435665
24,Amphetamine,0.9715,1,<LOQ,<LOQ,<LOQ,50.9954447,53.25719978,56.75237071,59.14764428,56.14663246,41.73082482,22.5196818,26.22734141,24.20140284,18.17311954,18.58280635,7.804683062,28.75285875,34.3968104,39.0650607,21.81968144,10.30109169,3.663242688,45.11617399,47.55536831,46.33577115,38.49684504,27.28598387,34.6414969,26.58931451,17.50464882,46.29328023,10.10898847,63.46202984,13.18825724,25.15005539,46.4352589,10.44157372,20.83864254,43.15080787,10.16730733,27.45219435,36.59592129,28.56377437,18.8541794,32.77813129,27.7394844,83.71171593,37.37392154,89.93259291,16.14711648,6.262603451,4.831723142,7.339664384,11.3310038,66.85257901,40.7862487,27.73711132,26.69445326,11.07790175,17.9111625,13.51466988,29.00046951,26.81417247,32.62288771,<LOQ,<LOQ,5.584926375
25,Ampicillin,1,500,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
26,Arecoline,0.9052,1,8.470055131,8.184433497,7.56897042,<LOQ,<LOQ,<LOQ,76.52752678,190.6926429,140.8722014,76.56737878,59.39113843,72.8381029,17.98502503,17.77913142,46.34166007,35.11429779,39.16606439,15.4880563,33.64106945,33.87409696,45.61404373,<LOQ,26.27123891,26.27123891,67.67810498,39.95905789,43.8117166,31.08953403,<LOQ,167.3693862,<LOQ,<LOQ,<LOQ,18.25146221,60.89118531,54.4163375,32.54584635,40.39133454,<LOQ,39.44111529,52.25335601,<LOQ,103.3588331,72.31760605,45.23810197,27.17992713,57.48113119,38.62391755,<LOQ,42.24936614,37.46531448,17.37140476,23.0816935,30.53511611,23.028776,11.2329427,13.4041282,17.93613281,<LOQ,23.36582821,94.51114378,46.90816458,106.5176438,4.285888784,14.95825542,7.17621239
27,Atenolol,0.9995,5,5.753209824,5.278347176,<LOQ,564.1455668,543.3593261,592.4298486,722.0661457,747.5166319,730.3512078,764.1131182,699.4894425,738.9507138,716.4269421,771.5185823,725.429594,614.6164896,578.2473281,642.9097261,457.8824711,519.408426,490.0060719,1003.702084,1141.054856,1072.37847,869.2215315,909.8760373,822.3951581,814.1225564,776.8925563,759.6400958,683.3129249,778.9739719,722.9055272,763.6606611,758.1870848,777.1011597,810.1107754,766.6996781,780.5643145,845.435714,875.7469517,837.8970725,979.9444077,932.4967155,928.8004139,844.9867472,887.677751,891.5391248,636.468532,580.724941,597.2533446,742.9475464,748.2676494,793.9747671,720.4919097,796.5232958,774.3131027,672.1047279,690.2771508,642.502113,729.8368076,747.6009087,768.5058281,18.09886284,21.49747551,15.87461756
28,Atenolol_Acid,0.9968,1,<LOQ,<LOQ,<LOQ,5772.893727,5219.349984,5404.482992,4606.647949,4353.770113,4790.506993,4558.564284,4281.233094,4267.549513,3879.594577,4030.161111,3894.723972,3883.467188,4046.662672,3876.043649,3765.900879,3593.6578,3699.333387,4783.448777,4494.640281,4639.044529,4311.956648,4177.364863,4617.718491,4835.766428,4365.351356,4405.564541,4750.207309,4826.27697,4735.124479,4385.598675,4149.753075,4455.709989,4313.420011,4450.842352,4151.12632,4327.688793,4127.322959,4278.960238,4996.42129,4857.989297,4810.036642,5064.58591,5367.325105,5765.275296,3228.04187,3216.132043,3287.211994,3981.179379,4089.041652,3878.298081,4301.385695,4158.660504,3795.80491,3618.125475,3597.086433,3694.792024,3956.406298,4184.907938,4258.630243,<LOQ,<LOQ,<LOQ
29,Atomoxetine,0.9436,1,<LOQ,<LOQ,<LOQ,<LOQ,38.7497447,<LOQ,18.60254087,13.63549736,<LOQ,23.12399726,19.30834487,<LOQ,31.95395791,27.27176256,18.5282028,42.28533414,25.44179363,28.40935277,18.82701605,13.96911554,18.69325838,17.32392342,23.76861253,20.54626798,11.66198368,25.58335068,30.33431857,21.50110147,22.16929672,24.85345259,115.0163636,95.08663529,131.0418563,44.38230331,54.35302771,60.57075706,45.43034159,65.0379658,62.85619257,19.40876727,13.25348162,32.28960912,24.55275462,14.14684609,<LOQ,15.92449215,<LOQ,19.16945173,19.11170716,19.6796337,28.00441639,28.59351907,20.78147795,11.16989687,<LOQ,31.55515706,19.88519773,14.94161696,36.90714948,16.98813139,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,7.354166967
30,Atorvastatin,0.9596,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,2064.628301,3457.776799,1811.522963,5219.018643,3902.408132,4360.348128,1790.541724,2589.649936,2281.621714,3027.370817,2708.577856,2920.695336,899.4004079,796.5771348,568.4796879,8978.269605,12034.41418,10506.34189,5631.487792,4169.932373,6574.184942,4230.387534,5469.187654,4941.287648,2109.747874,3062.63851,4209.593911,2899.574,2306.420724,2182.668918,2200.72043,1024.761919,1400.426188,1431.537414,1100.731316,1263.17126,6819.585573,4075.298716,4012.065631,946.5332796,919.147561,676.011854,648.9209386,768.3025784,877.8114202,834.6147391,765.1713706,1009.244462,2062.125791,1501.710113,2357.082353,764.5388961,902.3007376,1022.97131,755.6744271,775.5960112,901.9192664,<LOQ,<LOQ,<LOQ
31,Atrazine,0.9928,1,<LOQ,-3.081869434,<LOQ,20.19073106,11.0571763,12.33382341,12.7260042,13.63831994,15.1840558,13.60107198,12.4389992,12.53978627,14.90412043,12.87061339,16.20654871,13.55137913,17.29732084,13.10695615,14.74883429,12.69414367,13.2063148,18.08857827,15.55453049,16.82155438,13.88896319,16.34740821,17.27987713,13.49076827,14.79098258,12.79405644,18.3789137,15.60335857,19.66034439,16.68100882,19.14713439,18.02851312,16.05338893,17.08175235,18.3776544,15.43201108,15.51719593,16.5580815,14.54203047,17.76595469,14.88340737,14.99775424,19.92927085,14.56752241,11.26122085,11.89208625,12.78044046,12.67943589,13.11961946,13.69607157,15.41542698,14.56796056,15.34639885,15.22276849,13.16850354,13.19104264,19.37257054,17.65121225,16.30111205,-2.161896713,<LOQ,<LOQ
32,Atrazine-2-hydroxy,0.8703,25,<LOQ,<LOQ,<LOQ,52.6363301,72.22022103,93.78519295,77.51279246,65.90779235,102.9639108,69.80299553,57.50105539,41.13418351,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,30.19205227,<LOQ,36.63811437,76.24021208,95.89181585,86.06601396,<LOQ,<LOQ,<LOQ,46.75149854,58.59739193,27.88721142,42.93055025,41.77405707,57.81960349,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,44.37332893,57.10189963,39.84705031,60.915485,79.02538678,63.90647939,87.09580485,51.71177195,52.36407239,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,53.69945068,61.4588719,65.37990457,<LOQ,<LOQ,<LOQ,257.4082985,262.2705934,303.7049293,<LOQ,<LOQ,<LOQ
33,Atrazine-desethyl,0.9975,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,25.59978729,37.23287142,50.42241485,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,34.33667094,16.67018599,20.10945903,23.16129329,15.045133,40.24805508,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,18.89400092,30.5560252,20.69435246,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
