,Compound,R2,LOQ,SFBlank_1,SFBlank_2,SFBlank_3,Nov11_1,Nov11_2,Nov11_3,Nov13_1,Nov13_2,Nov13_3,Nov14_1,Nov14_2,Nov14_3,Nov15_1,Nov15_2,Nov15_3,Nov16_1,Nov16_2,Nov16_3,Nov17_1,Nov17_2,Nov17_3,Nov18_1,Nov18_2,Nov18_3,Nov19_1,Nov19_2,Nov19_3,Nov20_1,Nov20_2,Nov20_3,Nov21_1,Nov21_2,Nov21_3,Nov22_1,Nov22_2,Nov22_3,Nov23_1,Nov23_2,Nov23_3,Nov24_1,Nov24_2,Nov24_3,Nov25_1,Nov25_2,Nov25_3,Nov26_1,Nov26_2,Nov26_3,Nov27_1,Nov27_2,Nov27_3,Nov28_1,Nov28_2,Nov28_3,Nov29_1,Nov29_2,Nov29_3,Nov30_1,Nov30_2,Nov30_3,Dec1_1,Dec1_2,Dec1_3,FFBlank_1,FFBlank_2,FFBlank_3
11,Acebutolol,0.9902,25,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
12,Acesulfame,0.9193,1,<LOQ,<LOQ,<LOQ,13751.38632,14457.93939,14249.88276,10073.50691,11666.96245,10706.70482,11465.85487,10575.96038,10941.85068,9221.821465,8488.918776,8811.498675,8937.217512,9445.894123,9168.012188,11107.63745,11590.62322,11483.42508,11762.22326,11532.74926,13170.6602,11530.44252,12370.58955,12044.61191,11164.54721,10712.62676,9970.514369,10137.2865,11202.77138,11219.92555,10369.31784,10817.24235,11045.6351,10065.4374,9812.97511,11004.61221,9366.812347,10215.86875,9740.262438,13299.93035,11361.58654,9926.322592,5844.6512,5194.443898,5362.270193,3470.600371,3327.904122,3305.104838,3889.189132,4617.737299,3742.094669,4441.910792,3511.409214,4019.046388,5194.968311,5249.240986,6270.5702,8727.104302,9121.875952,8913.050167,646.2359723,632.1047128,633.7556727
13,Acetaminophen,0.9963,1,-3.509344784,-1.476628361,-4.908059728,93858.10342,96402.74667,107507.195,95293.3102,92493.27522,86717.69334,78037.20504,68469.18396,91657.24727,65955.95394,65265.6051,60076.39378,70120.8742,56727.40634,50614.01726,96021.24581,91344.44607,76890.02988,84166.72749,75297.05727,71392.44867,81368.5241,69435.35768,62213.38216,69668.19008,74672.14429,78439.03605,71103.5389,57129.22089,76802.34817,75518.34498,71475.8206,80351.79166,64713.9669,73747.3103,72344.16715,74080.22942,77157.9328,63450.77923,75465.4757,80804.47548,62493.04772,59685.05336,61816.46464,63615.21807,22229.20642,22515.76383,25489.01286,37899.45211,39950.12113,35192.66355,47082.24794,40792.55293,46302.17977,34728.62407,35398.03755,30084.2711,42472.52652,35089.45024,38833.45924,149.7151416,155.8025664,152.790356
14,Acetazolamide,0.9951,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
15,Acetochlor_Alachlor,0.9772,1,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
16,Adenosine,0.8369,1,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM
17,Adrenalone,0.0476,50,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM
18,Adrenosterone,0.9917,1,<LOQ,<LOQ,<LOQ,10565.62964,9223.919879,10483.81464,2549.639558,3453.002251,3562.779596,5858.559509,6545.447651,6770.636371,2439.298449,2849.797676,2550.295734,4223.157016,4052.742952,4329.342819,2283.491262,2225.186291,2014.664638,2265.741599,2389.222674,2192.017282,3109.409171,2599.701483,3163.083009,4622.577799,4723.912859,4219.389341,4727.421461,3936.450599,4362.653919,4607.108558,4641.927087,4491.673244,4700.232726,4455.612313,4501.481882,5469.900566,5698.413478,5185.352446,5120.468352,4813.685838,4109.455617,5758.384844,6112.644318,5973.717272,1119.180366,1596.109321,1602.233856,4449.735292,3863.884805,4239.336923,3479.854317,3466.294458,3245.254504,3872.835787,3883.202311,3921.954542,4792.170878,4531.040851,4584.172093,15.40200182,15.2249113,16.64530689
19,Alachlor-OXA,0.9894,1,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
20,Albuterol,0.9971,1,<LOQ,0.178581857,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
21,Allopurinol,0.9655,250,3954.465406,6915.798663,6913.15875,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
22,Amisulpride,0.9744,25,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
23,Amitriptyline,0.9275,5,<LOQ,<LOQ,<LOQ,538.13319,417.7531293,440.3008682,576.4263866,612.3741272,742.3996125,672.3142741,613.7609843,621.2205752,624.867222,602.6749406,577.8357684,515.455638,390.5739479,476.5041207,374.9757175,383.6564805,318.6690477,419.8343836,527.6915334,626.8851283,1390.880959,1317.91598,1216.320891,1004.358898,998.1663664,912.2610014,895.0832373,1030.623757,945.4509147,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
24,Amphetamine,0.9715,1,<LOQ,<LOQ,<LOQ,190.8310867,382.0446623,117.6981943,574.3449777,521.2874868,421.1754892,414.6788221,389.9463142,498.3689463,211.3688661,271.5580109,275.04998,298.5667734,360.7719642,218.7181006,441.0670975,662.6446969,430.3859681,503.6576199,587.7416014,447.5163175,214.5601983,333.2039162,355.9622082,251.8928295,358.3155106,215.2617856,230.2759259,290.9889016,331.7698161,<LOQ,<LOQ,<LOQ,258.3640342,373.9472328,441.0695768,342.8965324,474.804213,434.6217128,375.8044206,211.8162089,390.3610984,354.4092436,328.0579593,481.507618,<LOQ,<LOQ,<LOQ,366.7081733,288.2855965,302.5605988,235.5720025,316.3755411,227.025279,297.1215357,313.9564876,379.5739272,372.8803807,321.3777691,339.3388251,<LOQ,<LOQ,<LOQ
25,Ampicillin,1,500,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
26,Arecoline,0.9052,1,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,130.3747329,149.4084348,280.8022725,62.74826735,<LOQ,<LOQ,<LOQ,<LOQ,146.8245017,63.33413442,45.93342194,89.13385473,323.5347373,26.48364227,283.0520266,178.1039784,287.5476133,175.4064235,<LOQ,107.0981655,57.61656505,<LOQ,151.8170554,<LOQ,174.5297156,34.98998178,51.84568428,<LOQ,<LOQ,<LOQ,191.0033121,<LOQ,90.44840482,<LOQ,148.0648862,<LOQ,245.5246323,<LOQ,<LOQ,179.3993333,281.0987783,102.2412312,10.06938088,39.31959264,31.2207297,72.32630904,31.4998089,43.52413561,54.84204911,66.46792284,17.88881141,126.8221843,35.43712712,56.76943788,<LOQ,127.0862435,68.19710183,2.683671344,7.390499149,3.674819772
27,Atenolol,0.9995,5,<LOQ,<LOQ,<LOQ,1270.806711,1156.260841,1160.816619,1012.866111,1075.213262,1121.266474,975.1514972,889.4735922,863.3046602,930.8718844,869.3442307,1025.761537,893.2489345,798.8349414,846.8845593,1170.968936,1346.706419,1286.524478,1121.081748,1068.937795,1171.355234,1022.829928,930.7757493,1018.539872,1005.311224,1084.318908,1076.095755,1140.179693,1138.761014,1167.029456,1061.23723,955.0161,1089.927876,1016.226818,1081.534689,971.3480209,1085.820344,916.0175435,1002.493209,1033.355434,1097.799677,1179.136279,1049.812377,1089.434662,961.1196544,695.9531395,704.8848235,695.8846596,869.7719895,911.8034764,890.0776596,851.508458,860.7675629,867.5242046,845.858988,846.9514072,912.0033544,865.0932676,962.2412975,841.2867474,22.17491377,25.15053779,26.29239248
28,Atenolol_Acid,0.9968,1,<LOQ,<LOQ,<LOQ,5055.577142,4585.893683,4695.226952,4550.267365,4272.896098,4755.891423,4565.973236,4067.811586,4872.819377,4576.397581,4231.835949,3998.819547,3724.338721,4150.90367,4650.230389,5085.72596,6514.03573,5108.549584,4600.465295,4789.372032,4864.734625,6252.599651,4922.49396,4974.683151,4779.159808,4847.297218,4541.590879,5348.39706,5706.492444,5540.19739,4939.486571,4667.503937,4691.296506,4639.878141,5069.432653,5536.338155,5342.471331,5162.232989,4630.459039,5671.505139,5846.728015,4996.878283,5483.351216,5436.535275,6183.136274,2857.026264,2847.462198,2852.582983,4128.608,3315.930958,3582.57717,3982.999676,4909.241283,3828.957169,4783.482528,4727.835091,4507.701318,4827.967642,4448.343812,4842.618814,<LOQ,<LOQ,<LOQ
29,Atomoxetine,0.9436,1,<LOQ,<LOQ,<LOQ,2629.550656,2799.928695,2675.590881,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,21.5433436,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,20.87394879,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,16.07582483,<LOQ,17.34977797,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,22.14367913,14.49896997,<LOQ,<LOQ,<LOQ,<LOQ,2.578980071,<LOQ
30,Atorvastatin,0.9596,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,6988.095989,3227.220099,1614.698776,2254.887469,4846.685247,4228.963484,3497.674347,11438.83901,2868.046278,3627.457172,3302.873021,3155.072572,1133.772169,1979.382228,2520.551392,6146.606913,4899.173782,3044.857434,6834.461311,2257.553412,3128.797527,2533.829179,5964.600199,2976.009585,9202.969167,8529.040119,8402.038934,8562.161474,8336.889922,12085.90991,11970.10264,4881.172417,4417.076604,5237.634556,4567.742978,5705.441909,4593.190662,6307.08933,2850.628886,7999.196548,5605.904916,5083.068869,1113.576147,1154.720304,3584.786428,1551.56278,6846.61704,2096.185627,4412.218837,3766.207015,2837.410436,3361.525058,4816.841089,4727.050672,2459.033515,2827.914213,2022.898037,<LOQ,<LOQ,<LOQ
31,Atrazine,0.9928,1,-2.27739316,-1.89004224,-2.640097929,19.35365383,11.62746354,16.83665375,12.12563634,9.493325795,7.597070411,12.13771064,14.6960119,13.35433592,15.55673845,13.40183685,14.53606899,15.68663573,15.43374862,14.82477975,19.27397532,9.759414225,11.41787992,16.01844127,16.62337781,7.274283846,17.23563767,13.58463893,11.19298965,16.65314262,14.05334223,17.51583346,17.11438041,17.81513383,18.19668673,18.82300069,15.97834532,23.00907435,13.90234074,14.95521077,10.75376943,21.1345461,12.22805721,14.96279366,13.8807651,13.50909004,13.53984542,10.72056746,14.64068908,12.94828219,8.744124376,12.38065421,12.50073895,14.38962698,13.95706396,11.76196647,11.84815468,14.03521718,10.02521665,14.99499431,18.28376424,14.5521214,12.39481917,11.88798992,11.41758109,<LOQ,-2.530664089,<LOQ
32,Atrazine-2-hydroxy,0.8703,25,<LOQ,<LOQ,<LOQ,27.48353566,54.59227722,99.09995715,<LOQ,<LOQ,<LOQ,53.99879395,<LOQ,46.79970557,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,80.67120837,33.58005983,50.4929876,<LOQ,64.12910606,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,31.22320942,75.65032776,94.91052538,<LOQ,<LOQ,<LOQ
33,Atrazine-desethyl,0.9975,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,23.62000159,49.61355422,33.19857204,<LOQ,<LOQ,<LOQ,97.78824089,131.7978367,111.4209259,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,64.93211357,60.3545078,42.00695309,41.40636695,23.4400863,46.34253235,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,14.69805141,25.37535231,14.40301844,43.37085036,38.28425873,54.27441442,<LOQ,<LOQ,<LOQ,47.59636125,35.98975734,60.03071446,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
